,Name,Access Type,Member Count,USER_NAME_ID,Created Date,USER_NAME_ID_commenter,Created Date.1
241,Enterprise Data Services & Operations,Public,554,86283,3/5/2019,42735,3/5/2019
242,Enterprise Data Services & Operations,Public,554,86283,3/5/2019,42735,3/5/2019
243,Enterprise Data Services & Operations,Public,554,86283,3/5/2019,86283,3/5/2019
244,Enterprise Data Services & Operations,Public,554,20583,3/5/2019,35396,3/6/2019
245,Enterprise Data Services & Operations,Public,554,20583,3/5/2019,74239,3/6/2019
246,Enterprise Data Services & Operations,Public,554,20583,3/5/2019,25601,3/6/2019
247,Enterprise Data Services & Operations,Public,554,20583,3/5/2019,74239,3/6/2019
248,Enterprise Data Services & Operations,Public,554,20583,3/5/2019,74239,3/7/2019
249,Enterprise Data Services & Operations,Public,554,20583,3/5/2019,3906,3/7/2019
250,Enterprise Data Services & Operations,Public,554,20583,3/5/2019,25601,3/8/2019
251,Enterprise Data Services & Operations,Public,554,20583,3/5/2019,3906,3/8/2019
252,Enterprise Data Services & Operations,Public,554,20583,3/5/2019,25601,3/8/2019
253,Enterprise Data Services & Operations,Public,554,20583,3/5/2019,25601,3/12/2019
254,Enterprise Data Services & Operations,Public,554,20583,3/5/2019,74239,3/12/2019
255,Enterprise Data Services & Operations,Public,554,20583,3/5/2019,3906,3/12/2019
256,Enterprise Data Services & Operations,Public,554,20583,3/5/2019,74239,3/12/2019
257,Enterprise Data Services & Operations,Public,554,20583,3/5/2019,3906,3/13/2019
258,Enterprise Data Services & Operations,Public,554,86283,3/4/2019,86283,3/4/2019
259,Enterprise Data Services & Operations,Public,554,91590,3/4/2019,39092,3/4/2019
260,Enterprise Data Services & Operations,Public,554,91590,3/4/2019,39092,3/4/2019
261,Enterprise Data Services & Operations,Public,554,91590,3/4/2019,91590,3/4/2019
262,Enterprise Data Services & Operations,Public,554,20583,3/2/2019,42735,3/2/2019
263,Enterprise Data Services & Operations,Public,554,20583,3/2/2019,42735,3/2/2019
264,Enterprise Data Services & Operations,Public,554,20583,3/1/2019,99114,3/1/2019
265,Enterprise Data Services & Operations,Public,554,3906,3/1/2019,3906,3/1/2019
266,Enterprise Data Services & Operations,Public,554,21477,2/28/2019,30723,2/28/2019
267,Enterprise Data Services & Operations,Public,554,21477,2/28/2019,21477,2/28/2019
268,Enterprise Data Services & Operations,Public,554,49680,2/28/2019,49680,2/28/2019
269,Enterprise Data Services & Operations,Public,554,49680,2/28/2019,39092,2/28/2019
270,Enterprise Data Services & Operations,Public,554,49680,2/28/2019,39092,2/28/2019
271,Enterprise Data Services & Operations,Public,554,49680,2/28/2019,49680,2/28/2019
272,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,3906,2/28/2019
273,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,30430,2/28/2019
274,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,39092,2/28/2019
275,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,40082,2/28/2019
276,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,39092,2/28/2019
277,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,95577,3/1/2019
278,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,13107,3/1/2019
279,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,13107,3/1/2019
280,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,30430,3/1/2019
281,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,65549,3/1/2019
282,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,3906,3/1/2019
283,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,13107,3/1/2019
284,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,13107,3/1/2019
285,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,3906,3/1/2019
286,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,39092,3/1/2019
287,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,95577,3/1/2019
288,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,39092,3/1/2019
289,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,39092,3/1/2019
290,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,13107,3/3/2019
291,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,13107,3/3/2019
292,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,95577,3/3/2019
293,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,40082,3/3/2019
294,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,39092,3/3/2019
295,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,3906,3/3/2019
296,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,39092,3/3/2019
297,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,13107,3/4/2019
298,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,39092,3/4/2019
299,Enterprise Data Services & Operations,Public,554,95577,2/28/2019,95577,3/4/2019
300,Enterprise Data Services & Operations,Public,554,85736,2/26/2019,39092,2/27/2019
301,Enterprise Data Services & Operations,Public,554,85736,2/26/2019,85736,2/27/2019
302,Enterprise Data Services & Operations,Public,554,41892,2/21/2019,41892,2/21/2019
303,Enterprise Data Services & Operations,Public,554,41892,2/19/2019,41892,2/19/2019
304,Enterprise Data Services & Operations,Public,554,66059,2/15/2019,66059,2/16/2019
305,Enterprise Data Services & Operations,Public,554,66059,2/15/2019,66059,2/16/2019
306,Enterprise Data Services & Operations,Public,554,30723,2/15/2019,30723,2/15/2019
307,Enterprise Data Services & Operations,Public,554,30723,2/15/2019,66126,2/15/2019
308,Enterprise Data Services & Operations,Public,554,30723,2/15/2019,68073,2/20/2019
309,Enterprise Data Services & Operations,Public,554,30723,2/15/2019,30723,2/20/2019
